datetime,timestamp,spot,oracle,liquidation_pnl,arbitrage_pnl,system_health,liquidation_count,arbitrage_count,bad_debt
2023-10-19 00:26:21,1697675181,1800.0,0,0,0,0,0,0,0
2023-10-19 01:26:21,1697678781,1621.5955278105664,0,0,0,0,0,0,0
2023-10-19 02:26:21,1697682381,1562.490388939168,0,0,0,0,0,0,0
2023-10-19 03:26:21,1697685981,1529.652174252692,0,0,0,0,0,0,0
2023-10-19 04:26:21,1697689581,1534.9292421571718,0,0,0,0,0,0,0
2023-10-19 05:26:21,1697693181,1592.4915127601976,0,0,0,0,0,0,0
2023-10-19 06:26:21,1697696781,1616.905222229591,0,0,0,0,0,0,0
2023-10-19 07:26:21,1697700381,1523.2959277624268,0,0,0,0,0,0,0
2023-10-19 08:26:21,1697703981,1535.8229562170525,0,0,0,0,0,0,0
2023-10-19 09:26:21,1697707581,1556.561771142157,0,0,0,0,0,0,0
2023-10-19 10:26:21,1697711181,1642.8042230859296,0,0,0,0,0,0,0
2023-10-19 11:26:21,1697714781,1648.0786272117116,0,0,0,0,0,0,0
2023-10-19 12:26:21,1697718381,1685.5668744206316,0,0,0,0,0,0,0
2023-10-19 13:26:21,1697721981,1673.6623541610784,0,0,0,0,0,0,0
2023-10-19 14:26:21,1697725581,1667.7063103531011,0,0,0,0,0,0,0
2023-10-19 15:26:21,1697729181,1758.8196034658797,0,0,0,0,0,0,0
2023-10-19 16:26:21,1697732781,1757.2917779059192,0,0,0,0,0,0,0
2023-10-19 17:26:21,1697736381,1669.1837036315412,0,0,0,0,0,0,0
2023-10-19 18:26:21,1697739981,1535.4584329217969,0,0,0,0,0,0,0
2023-10-19 19:26:21,1697743581,1453.0747872815357,0,0,0,0,0,0,0
2023-10-19 20:26:21,1697747181,1482.5228442154591,0,0,0,0,0,0,0
2023-10-19 21:26:21,1697750781,1483.1543593173972,0,0,0,0,0,0,0
2023-10-19 22:26:21,1697754381,1534.5848480878003,0,0,0,0,0,0,0
2023-10-19 23:26:21,1697757981,1627.4816097686053,0,0,0,0,0,0,0
