datetime,timestamp,spot,oracle,liquidation_pnl,liquidation_count,arbitrage_pnl,arbitrage_count,system_health,bad_debt
2023-10-19 00:26:21,1697675181,1800.0,,,,,,,
2023-10-19 01:26:21,1697678781,1785.2180658487175,,,,,,,
2023-10-19 02:26:21,1697682381,1715.4836302528463,,,,,,,
2023-10-19 03:26:21,1697685981,1730.115496348882,,,,,,,
2023-10-19 04:26:21,1697689581,1781.9271627324958,,,,,,,
2023-10-19 05:26:21,1697693181,1762.6998591035558,,,,,,,
2023-10-19 06:26:21,1697696781,1712.0363363773502,,,,,,,
2023-10-19 07:26:21,1697700381,1633.9759235015895,,,,,,,
2023-10-19 08:26:21,1697703981,1653.1719004239858,,,,,,,
2023-10-19 09:26:21,1697707581,1578.6961402733818,,,,,,,
2023-10-19 10:26:21,1697711181,1757.2651296248446,,,,,,,
2023-10-19 11:26:21,1697714781,1656.3457796995933,,,,,,,
2023-10-19 12:26:21,1697718381,1604.1910176373988,,,,,,,
2023-10-19 13:26:21,1697721981,1487.0532944235395,,,,,,,
2023-10-19 14:26:21,1697725581,1480.553234613788,,,,,,,
2023-10-19 15:26:21,1697729181,1510.9857585843715,,,,,,,
2023-10-19 16:26:21,1697732781,1518.5051642961766,,,,,,,
2023-10-19 17:26:21,1697736381,1541.3472628766556,,,,,,,
2023-10-19 18:26:21,1697739981,1521.5408272941916,,,,,,,
2023-10-19 19:26:21,1697743581,1496.7738224398952,,,,,,,
2023-10-19 20:26:21,1697747181,1477.3406416739522,,,,,,,
2023-10-19 21:26:21,1697750781,1482.2165465875707,,,,,,,
2023-10-19 22:26:21,1697754381,1436.9197231510316,,,,,,,
2023-10-19 23:26:21,1697757981,1355.308839514617,,,,,,,
