datetime,timestamp,spot,oracle,liquidation_pnl,liquidation_count,arbitrage_pnl,arbitrage_count,system_health,bad_debt
2023-10-19 00:26:21,1697675181,1800.0,,,,,,,
2023-10-19 01:26:21,1697678781,1782.5132270515203,,,,,,,
2023-10-19 02:26:21,1697682381,1772.171564893862,,,,,,,
2023-10-19 03:26:21,1697685981,1765.1793592543872,,,,,,,
2023-10-19 04:26:21,1697689581,1757.436472111223,,,,,,,
2023-10-19 05:26:21,1697693181,1748.1321368729198,,,,,,,
2023-10-19 06:26:21,1697696781,1736.2904778420016,,,,,,,
2023-10-19 07:26:21,1697700381,1738.4390450918838,,,,,,,
2023-10-19 08:26:21,1697703981,1727.536579796592,,,,,,,
2023-10-19 09:26:21,1697707581,1722.6289622091253,,,,,,,
2023-10-19 10:26:21,1697711181,1712.3002380947353,,,,,,,
2023-10-19 11:26:21,1697714781,1705.1267570263283,,,,,,,
2023-10-19 12:26:21,1697718381,1701.1398106481859,,,,,,,
2023-10-19 13:26:21,1697721981,1701.5180276535878,,,,,,,
2023-10-19 14:26:21,1697725581,1684.0276969475221,,,,,,,
2023-10-19 15:26:21,1697729181,1679.713037820401,,,,,,,
2023-10-19 16:26:21,1697732781,1673.5067432312017,,,,,,,
2023-10-19 17:26:21,1697736381,1663.7517009901824,,,,,,,
2023-10-19 18:26:21,1697739981,1651.3609329311353,,,,,,,
2023-10-19 19:26:21,1697743581,1644.008276516542,,,,,,,
2023-10-19 20:26:21,1697747181,1631.7635943382388,,,,,,,
2023-10-19 21:26:21,1697750781,1622.039986518895,,,,,,,
2023-10-19 22:26:21,1697754381,1614.4990570536268,,,,,,,
2023-10-19 23:26:21,1697757981,1610.5017076403265,,,,,,,
